('SK1000', 'FCO', 'MXP', '20:07', '21:26', 'A320neo'),
('SK1381', 'BCN', 'ATH', '02:45', '05:42', 'A320neo'),
('SK1382', 'BCN', 'JFK', '09:15', '16:44', 'B787'),
('SK1383', 'BCN', 'LAX', '08:21', '20:08', 'B787'),
('SK1384', 'BCN', 'YYZ', '10:57', '18:46', 'B787'),
('SK1385', 'BCN', 'GRU', '17:05', '03:45', 'B787'),
('SK1386', 'BCN', 'DXB', '04:09', '10:27', 'B787'),
('SK1387', 'BCN', 'NRT', '07:24', '20:06', 'B787'),
('SK1388', 'BCN', 'PEK', '22:09', '08:53', 'B787'),
('SK1389', 'BCN', 'ICN', '22:13', '09:54', 'B787'),
('SK1390', 'VIE', 'FCO', '02:26', '04:27', 'A320neo'),
('SK1391', 'VIE', 'MXP', '13:21', '15:03', 'A320neo'),
('SK1392', 'VIE', 'VCE', '17:29', '18:36', 'A320neo'),
('SK1393', 'VIE', 'NAP', '13:03', '14:37', 'A320neo'),
('SK1394', 'VIE', 'TRN', '06:53', '08:50', 'A320neo'),
('SK1395', 'VIE', 'BRI', '13:24', '15:24', 'A320neo'),
('SK1396', 'VIE', 'CDG', '18:44', '20:42', 'A320neo'),
('SK1397', 'VIE', 'LHR', '00:54', '03:15', 'A320neo'),
('SK1398', 'VIE', 'AMS', '18:24', '20:14', 'A320neo'),
('SK1399', 'VIE', 'FRA', '15:00', '16:36', 'A320neo'),
('SK1400', 'VIE', 'BCN', '11:19', '13:29', 'A320neo'),
('SK1401', 'VIE', 'CPH', '12:54', '14:34', 'A320neo'),
('SK1402', 'VIE', 'OSL', '13:34', '15:46', 'A320neo'),
('SK1403', 'VIE', 'ARN', '23:47', '02:10', 'A320neo'),
('SK1404', 'VIE', 'DUB', '17:51', '20:29', 'A320neo'),
('SK1405', 'VIE', 'ATH', '19:57', '22:19', 'A320neo'),
('SK1406', 'VIE', 'JFK', '07:31', '15:48', 'B787'),
('SK1407', 'VIE', 'LAX', '07:17', '19:17', 'B787'),
('SK1408', 'VIE', 'YYZ', '13:31', '21:59', 'B787'),
('SK1409', 'VIE', 'GRU', '00:24', '12:44', 'B787'),
('SK1410', 'VIE', 'DXB', '10:42', '15:50', 'B787'),
('SK1411', 'VIE', 'NRT', '21:51', '08:58', 'B787'),
('SK1412', 'VIE', 'PEK', '12:46', '21:50', 'B787'),
('SK1413', 'VIE', 'ICN', '05:53', '15:56', 'B787'),
('SK1414', 'CPH', 'FCO', '14:58', '17:24', 'A320neo'),
('SK1415', 'CPH', 'MXP', '04:39', '06:50', 'A320neo'),
('SK1416', 'CPH', 'VCE', '17:01', '19:10', 'A320neo'),
('SK1417', 'CPH', 'NAP', '12:37', '15:10', 'A320neo'),
('SK1418', 'CPH', 'TRN', '18:42', '20:56', 'A320neo'),
('SK1419', 'CPH', 'BRI', '00:05', '02:37', 'A320neo'),
('SK1420', 'CPH', 'CDG', '20:27', '22:22', 'A320neo'),
('SK1421', 'CPH', 'LHR', '04:55', '06:47', 'A320neo'),
('SK1422', 'CPH', 'AMS', '14:11', '15:49', 'A320neo'),
('SK1423', 'CPH', 'FRA', '01:16', '03:01', 'A320neo'),
('SK1424', 'CPH', 'BCN', '12:20', '15:04', 'A320neo'),
('SK1425', 'CPH', 'VIE', '06:29', '08:09', 'A320neo'),
('SK1426', 'CPH', 'OSL', '10:21', '11:41', 'A320neo'),
('SK1427', 'CPH', 'ARN', '12:17', '13:41', 'A320neo'),
('SK1428', 'CPH', 'DUB', '13:16', '15:34', 'A320neo'),
('SK1429', 'CPH', 'ATH', '02:30', '05:49', 'A320neo'),
('SK1430', 'CPH', 'JFK', '00:47', '08:19', 'B787'),
('SK1431', 'CPH', 'LAX', '17:03', '04:03', 'B787'),
('SK1432', 'CPH', 'YYZ', '11:14', '18:52', 'B787'),
('SK1433', 'CPH', 'GRU', '20:04', '08:44', 'B787'),
('SK1434', 'CPH', 'DXB', '20:02', '01:54', 'B787'),
('SK1435', 'CPH', 'NRT', '00:15', '10:50', 'B787'),
('SK1436', 'CPH', 'PEK', '06:53', '15:39', 'B787'),
('SK1437', 'CPH', 'ICN', '00:39', '10:18', 'B787'),
('SK1438', 'OSL', 'FCO', '04:15', '07:25', 'A320neo'),
('SK1439', 'OSL', 'MXP', '04:30', '07:01', 'A320neo'),
('SK1440', 'OSL', 'VCE', '21:07', '23:39', 'A320neo'),
('SK1441', 'OSL', 'NAP', '18:13', '21:31', 'A320neo'),
('SK1442', 'OSL', 'TRN', '14:44', '17:20', 'A320neo'),
('SK1443', 'OSL', 'BRI', '08:49', '12:09', 'A320neo'),
('SK1444', 'OSL', 'CDG', '11:10', '13:19', 'A320neo'),
('SK1445', 'OSL', 'LHR', '19:38', '21:56', 'A320neo'),
('SK1446', 'OSL', 'AMS', '23:45', '01:35', 'A320neo'),
('SK1447', 'OSL', 'FRA', '03:49', '05:59', 'A320neo'),
('SK1448', 'OSL', 'BCN', '05:19', '08:43', 'A320neo'),
('SK1449', 'OSL', 'VIE', '03:37', '05:49', 'A320neo'),
('SK1450', 'OSL', 'CPH', '00:59', '02:19', 'A320neo'),
('SK1451', 'OSL', 'ARN', '09:36', '10:35', 'A320neo'),
('SK1452', 'OSL', 'DUB', '21:58', '00:01', 'A320neo'),
('SK1453', 'OSL', 'ATH', '12:25', '16:30', 'A320neo'),
('SK1454', 'OSL', 'JFK', '22:12', '05:24', 'B787'),
('SK1455', 'OSL', 'LAX', '02:37', '13:04', 'B787'),
('SK1456', 'OSL', 'YYZ', '22:53', '06:08', 'B787'),
('SK1457', 'OSL', 'GRU', '20:15', '09:13', 'B787'),
('SK1458', 'OSL', 'DXB', '03:44', '09:59', 'B787'),
('SK1459', 'OSL', 'NRT', '09:54', '20:05', 'B787'),
('SK1460', 'OSL', 'PEK', '21:38', '06:08', 'B787'),
('SK1461', 'OSL', 'ICN', '03:50', '13:10', 'B787'),
('SK1462', 'ARN', 'FCO', '18:50', '21:58', 'A320neo'),
('SK1463', 'ARN', 'MXP', '01:22', '03:58', 'A320neo'),
('SK1464', 'ARN', 'VCE', '17:27', '19:57', 'A320neo'),
('SK1465', 'ARN', 'NAP', '21:23', '00:38', 'A320neo'),
('SK1466', 'ARN', 'TRN', '02:32', '05:14', 'A320neo'),
('SK1467', 'ARN', 'BRI', '20:21', '23:33', 'A320neo'),
('SK1468', 'ARN', 'CDG', '00:54', '03:21', 'A320neo'),
('SK1469', 'ARN', 'LHR', '13:52', '16:11', 'A320neo'),
('SK1470', 'ARN', 'AMS', '15:06', '17:18', 'A320neo'),
('SK1471', 'ARN', 'FRA', '13:23', '15:39', 'A320neo'),
('SK1472', 'ARN', 'BCN', '20:57', '00:32', 'A320neo'),
('SK1473', 'ARN', 'VIE', '14:45', '17:08', 'A320neo'),
('SK1474', 'ARN', 'CPH', '04:27', '05:51', 'A320neo'),
('SK1475', 'ARN', 'OSL', '05:46', '06:45', 'A320neo'),
('SK1476', 'ARN', 'DUB', '16:41', '19:12', 'A320neo'),
('SK1477', 'ARN', 'ATH', '08:39', '12:27', 'A320neo'),
('SK1478', 'ARN', 'JFK', '17:49', '01:29', 'B787'),
('SK1479', 'ARN', 'LAX', '15:29', '02:17', 'B787'),
('SK1480', 'ARN', 'YYZ', '13:52', '21:33', 'B787'),
('SK1481', 'ARN', 'GRU', '23:37', '12:55', 'B787'),
('SK1482', 'ARN', 'DXB', '08:20', '14:09', 'B787'),
('SK1483', 'ARN', 'NRT', '07:53', '17:48', 'B787'),
('SK1484', 'ARN', 'PEK', '02:17', '10:26', 'B787'),
('SK1485', 'ARN', 'ICN', '14:15', '23:16', 'B787'),
('SK1486', 'DUB', 'FCO', '14:36', '17:31', 'A320neo'),
('SK1487', 'DUB', 'MXP', '19:42', '21:54', 'A320neo'),
('SK1488', 'DUB', 'VCE', '12:21', '14:53', 'A320neo'),
('SK1489', 'DUB', 'NAP', '00:31', '03:44', 'A320neo'),
('SK1490', 'DUB', 'TRN', '10:11', '12:20', 'A320neo'),
('SK1491', 'DUB', 'BRI', '15:13', '18:37', 'A320neo'),
('SK1492', 'DUB', 'CDG', '11:51', '13:52', 'A320neo'),
('SK1493', 'DUB', 'LHR', '08:21', '09:30', 'A320neo'),
('SK1494', 'DUB', 'AMS', '08:56', '10:52', 'A320neo'),
('SK1495', 'DUB', 'FRA', '19:44', '21:48', 'A320neo'),
('SK1496', 'DUB', 'BCN', '08:35', '10:57', 'A320neo'),
('SK1497', 'DUB', 'VIE', '00:33', '03:11', 'A320neo'),
('SK1498', 'DUB', 'CPH', '06:05', '08:23', 'A320neo'),
('SK1499', 'DUB', 'OSL', '07:46', '09:49', 'A320neo'),
('SK1500', 'DUB', 'ARN', '13:31', '16:02', 'A320neo'),
('SK1501', 'DUB', 'ATH', '17:48', '22:16', 'A320neo'),
('SK1502', 'DUB', 'JFK', '07:44', '13:57', 'B787'),
('SK1503', 'DUB', 'LAX', '15:41', '01:49', 'B787'),
('SK1504', 'DUB', 'YYZ', '22:31', '04:55', 'B787'),
('SK1505', 'DUB', 'GRU', '14:50', '02:16', 'B787'),
('SK1506', 'DUB', 'DXB', '00:05', '07:17', 'B787'),
('SK1507', 'DUB', 'NRT', '09:14', '20:54', 'B787'),
('SK1508', 'DUB', 'PEK', '12:44', '22:48', 'B787'),
('SK1509', 'DUB', 'ICN', '07:19', '18:12', 'B787'),
('SK1510', 'ATH', 'FCO', '21:37', '23:41', 'A320neo'),
('SK1511', 'ATH', 'MXP', '11:30', '13:55', 'A320neo'),
('SK1512', 'ATH', 'VCE', '17:33', '19:55', 'A320neo'),
('SK1513', 'ATH', 'NAP', '11:27', '13:09', 'A320neo'),
('SK1514', 'ATH', 'TRN', '23:35', '02:05', 'A320neo'),
('SK1515', 'ATH', 'BRI', '10:22', '12:12', 'A320neo'),
('SK1516', 'ATH', 'CDG', '22:29', '01:45', 'A320neo'),
('SK1517', 'ATH', 'LHR', '08:19', '12:05', 'A320neo'),
('SK1518', 'ATH', 'AMS', '08:14', '11:37', 'A320neo'),
('SK1519', 'ATH', 'FRA', '03:46', '06:35', 'A320neo'),
('SK1520', 'ATH', 'BCN', '06:20', '09:17', 'A320neo'),
('SK1521', 'ATH', 'VIE', '03:47', '06:09', 'A320neo'),
('SK1522', 'ATH', 'CPH', '17:48', '21:07', 'A320neo'),
('SK1523', 'ATH', 'OSL', '22:11', '02:16', 'A320neo'),
('SK1524', 'ATH', 'ARN', '06:13', '10:01', 'A320neo'),
('SK1525', 'ATH', 'DUB', '23:30', '03:58', 'A320neo'),
('SK1526', 'ATH', 'JFK', '08:46', '18:26', 'B787'),
('SK1527', 'ATH', 'LAX', '18:48', '08:21', 'B787'),
('SK1528', 'ATH', 'YYZ', '16:38', '02:32', 'B787'),
('SK1529', 'ATH', 'GRU', '09:06', '21:18', 'B787'),
('SK1530', 'ATH', 'DXB', '06:18', '11:23', 'B787'),
('SK1531', 'ATH', 'NRT', '07:23', '18:57', 'B787'),
('SK1532', 'ATH', 'PEK', '05:19', '14:35', 'B787'),
('SK1533', 'ATH', 'ICN', '00:45', '11:04', 'B787'),
('SK1534', 'JFK', 'FCO', '17:08', '01:30', 'B787'),
('SK1535', 'JFK', 'MXP', '08:02', '15:50', 'B787'),
('SK1536', 'JFK', 'VCE', '01:35', '09:42', 'B787'),
('SK1537', 'JFK', 'NAP', '09:44', '18:20', 'B787'),
('SK1538', 'JFK', 'TRN', '04:40', '12:25', 'B787'),
('SK1539', 'JFK', 'BRI', '15:06', '23:54', 'B787'),
('SK1540', 'JFK', 'CDG', '00:36', '07:42', 'B787'),
('SK1541', 'JFK', 'LHR', '09:30', '16:15', 'B787'),
('SK1542', 'JFK', 'AMS', '15:28', '22:35', 'B787'),
('SK1543', 'JFK', 'FRA', '10:11', '17:43', 'B787'),
('SK1544', 'JFK', 'BCN', '01:16', '08:45', 'B787'),
('SK1545', 'JFK', 'VIE', '15:07', '23:24', 'B787'),
('SK1546', 'JFK', 'CPH', '02:25', '09:57', 'B787'),
('SK1547', 'JFK', 'OSL', '15:04', '22:16', 'B787'),
('SK1548', 'JFK', 'ARN', '18:40', '02:20', 'B787'),
('SK1549', 'JFK', 'DUB', '21:03', '03:16', 'B787'),
('SK1550', 'JFK', 'ATH', '04:09', '13:49', 'B787'),
('SK1551', 'JFK', 'LAX', '18:19', '00:29', 'B787'),
('SK1552', 'JFK', 'YYZ', '02:15', '03:46', 'B787'),
('SK1553', 'JFK', 'GRU', '03:35', '12:55', 'B787'),
('SK1554', 'JFK', 'DXB', '13:38', '03:02', 'B787'),
('SK1555', 'JFK', 'NRT', '19:50', '09:04', 'B787'),
('SK1556', 'JFK', 'PEK', '19:14', '08:36', 'B787'),
('SK1557', 'JFK', 'ICN', '16:24', '05:54', 'B787'),
('SK1558', 'LAX', 'FCO', '14:58', '03:24', 'B787'),
('SK1559', 'LAX', 'MXP', '14:19', '02:07', 'B787'),
('SK1560', 'LAX', 'VCE', '18:27', '06:30', 'B787'),
('SK1561', 'LAX', 'NAP', '09:36', '22:15', 'B787'),
('SK1562', 'LAX', 'TRN', '19:03', '06:50', 'B787'),
('SK1563', 'LAX', 'BRI', '19:47', '08:34', 'B787'),
('SK1564', 'LAX', 'CDG', '03:48', '14:53', 'B787'),
('SK1565', 'LAX', 'LHR', '06:40', '13:25', 'B787'),
('SK1566', 'LAX', 'AMS', '06:16', '17:10', 'B787'),
('SK1567', 'LAX', 'FRA', '21:05', '08:26', 'B787'),
('SK1568', 'LAX', 'BCN', '05:15', '17:02', 'B787'),
('SK1569', 'LAX', 'VIE', '05:35', '17:35', 'B787'),
('SK1570', 'LAX', 'CPH', '02:10', '13:10', 'B787'),
('SK1571', 'LAX', 'OSL', '00:26', '10:53', 'B787'),
('SK1572', 'LAX', 'ARN', '14:44', '01:32', 'B787'),
('SK1573', 'LAX', 'DUB', '19:30', '05:38', 'B787'),
('SK1574', 'LAX', 'ATH', '09:02', '22:35', 'B787'),
('SK1575', 'LAX', 'JFK', '07:18', '13:28', 'B787'),
('SK1576', 'LAX', 'YYZ', '22:18', '03:43', 'B787'),
('SK1577', 'LAX', 'GRU', '22:55', '11:00', 'B787'),
('SK1578', 'LAX', 'DXB', '14:04', '06:23', 'B787'),
('SK1579', 'LAX', 'NRT', '21:14', '07:58', 'B787'),
('SK1580', 'LAX', 'PEK', '08:50', '21:03', 'B787'),
('SK1581', 'LAX', 'ICN', '20:37', '08:20', 'B787'),
('SK1582', 'YYZ', 'FCO', '21:51', '06:29', 'B787'),
('SK1583', 'YYZ', 'MXP', '06:27', '14:30', 'B787'),
('SK1584', 'YYZ', 'VCE', '03:34', '11:55', 'B787'),
('SK1585', 'YYZ', 'NAP', '07:41', '16:33', 'B787'),
('SK1586', 'YYZ', 'TRN', '04:58', '12:58', 'B787'),
('SK1587', 'YYZ', 'BRI', '08:52', '17:55', 'B787'),
('SK1588', 'YYZ', 'CDG', '04:04', '11:24', 'B787'),
('SK1589', 'YYZ', 'LHR', '01:10', '08:07', 'B787'),
('SK1590', 'YYZ', 'AMS', '09:38', '16:55', 'B787'),
('SK1591', 'YYZ', 'FRA', '23:52', '07:35', 'B787'),
('SK1592', 'YYZ', 'BCN', '18:58', '02:47', 'B787'),
('SK1593', 'YYZ', 'VIE', '09:28', '17:56', 'B787'),
('SK1594', 'YYZ', 'CPH', '03:29', '11:07', 'B787'),
('SK1595', 'YYZ', 'OSL', '22:19', '05:34', 'B787'),
('SK1596', 'YYZ', 'ARN', '22:25', '06:06', 'B787'),
('SK1597', 'YYZ', 'DUB', '08:32', '14:56', 'B787'),
('SK1598', 'YYZ', 'ATH', '17:31', '03:25', 'B787'),
('SK1599', 'YYZ', 'JFK', '14:05', '15:36', 'B787'),
('SK1600', 'YYZ', 'LAX', '19:02', '00:27', 'B787'),
('SK1601', 'YYZ', 'GRU', '13:47', '23:46', 'B787'),
('SK1602', 'YYZ', 'DXB', '10:38', '00:08', 'B787'),
('SK1603', 'YYZ', 'NRT', '08:01', '20:36', 'B787'),
('SK1604', 'YYZ', 'PEK', '02:14', '15:06', 'B787'),
('SK1605', 'YYZ', 'ICN', '21:53', '10:49', 'B787'),
('SK1606', 'GRU', 'FCO', '18:37', '06:06', 'B787'),
('SK1607', 'GRU', 'MXP', '00:48', '12:21', 'B787'),
('SK1608', 'GRU', 'VCE', '21:52', '09:40', 'B787'),
('SK1609', 'GRU', 'NAP', '08:36', '20:11', 'B787'),
('SK1610', 'GRU', 'TRN', '01:48', '13:14', 'B787'),
('SK1611', 'GRU', 'BRI', '05:30', '17:18', 'B787'),
('SK1612', 'GRU', 'CDG', '16:41', '04:08', 'B787'),
('SK1613', 'GRU', 'LHR', '14:58', '02:29', 'B787'),
('SK1614', 'GRU', 'AMS', '08:11', '20:05', 'B787'),
('SK1615', 'GRU', 'FRA', '18:27', '06:23', 'B787'),
('SK1616', 'GRU', 'BCN', '20:52', '07:32', 'B787'),
('SK1617', 'GRU', 'VIE', '15:05', '03:25', 'B787'),
('SK1618', 'GRU', 'CPH', '15:22', '04:02', 'B787'),
('SK1619', 'GRU', 'OSL', '13:21', '02:19', 'B787'),
('SK1620', 'GRU', 'ARN', '10:42', '00:00', 'B787'),
('SK1621', 'GRU', 'DUB', '03:54', '15:20', 'B787'),
('SK1622', 'GRU', 'ATH', '05:21', '17:33', 'B787'),
('SK1623', 'GRU', 'JFK', '13:44', '23:04', 'B787'),
('SK1624', 'GRU', 'LAX', '15:18', '03:23', 'B787'),
('SK1625', 'GRU', 'YYZ', '21:25', '07:24', 'B787'),
('SK1626', 'GRU', 'DXB', '17:02', '07:55', 'B787'),
('SK1627', 'GRU', 'NRT', '14:05', '04:21', 'B787'),
('SK1628', 'GRU', 'PEK', '10:16', '23:43', 'B787'),
('SK1629', 'GRU', 'ICN', '10:07', '00:05', 'B787'),
('SK1630', 'DXB', 'FCO', '12:55', '18:12', 'B787'),
('SK1631', 'DXB', 'MXP', '16:52', '22:36', 'B787'),
('SK1632', 'DXB', 'VCE', '00:42', '06:06', 'B787'),
('SK1633', 'DXB', 'NAP', '17:29', '22:32', 'B787'),
('SK1634', 'DXB', 'TRN', '13:03', '18:52', 'B787'),
('SK1635', 'DXB', 'BRI', '06:33', '12:42', 'B787'),
('SK1636', 'DXB', 'CDG', '11:39', '18:02', 'B787'),
('SK1637', 'DXB', 'LHR', '15:40', '22:21', 'B787'),
('SK1638', 'DXB', 'AMS', '14:48', '21:05', 'B787'),
('SK1639', 'DXB', 'FRA', '01:13', '07:07', 'B787'),
('SK1640', 'DXB', 'BCN', '08:35', '14:53', 'B787'),
('SK1641', 'DXB', 'VIE', '04:59', '10:07', 'B787'),
('SK1642', 'DXB', 'CPH', '09:28', '15:20', 'B787'),
('SK1643', 'DXB', 'OSL', '22:31', '04:46', 'B787'),
('SK1644', 'DXB', 'ARN', '03:01', '08:50', 'B787'),
('SK1645', 'DXB', 'DUB', '20:38', '03:50', 'B787'),
('SK1646', 'DXB', 'ATH', '07:45', '12:50', 'B787'),
('SK1647', 'DXB', 'JFK', '05:19', '18:43', 'B787'),
('SK1648', 'DXB', 'LAX', '17:00', '09:19', 'B787'),
('SK1649', 'DXB', 'YYZ', '17:26', '06:56', 'B787'),
('SK1650', 'DXB', 'GRU', '02:14', '17:07', 'B787'),
('SK1651', 'DXB', 'NRT', '03:29', '13:08', 'B787'),
('SK1652', 'DXB', 'PEK', '03:41', '10:48', 'B787'),
('SK1653', 'DXB', 'ICN', '04:31', '12:42', 'B787'),
('SK1654', 'NRT', 'FCO', '22:18', '10:20', 'B787'),
('SK1655', 'NRT', 'MXP', '16:45', '04:35', 'B787'),
('SK1656', 'NRT', 'VCE', '08:26', '20:04', 'B787'),
('SK1657', 'NRT', 'NAP', '15:30', '03:29', 'B787'),
('SK1658', 'NRT', 'TRN', '07:29', '19:26', 'B787'),
('SK1659', 'NRT', 'BRI', '17:09', '04:56', 'B787'),
('SK1660', 'NRT', 'CDG', '12:12', '00:00', 'B787'),
('SK1661', 'NRT', 'LHR', '19:32', '07:09', 'B787'),
('SK1662', 'NRT', 'AMS', '23:56', '11:06', 'B787'),
('SK1663', 'NRT', 'FRA', '04:55', '16:18', 'B787'),
('SK1664', 'NRT', 'BCN', '02:17', '14:59', 'B787'),
('SK1665', 'NRT', 'VIE', '13:21', '00:28', 'B787'),
('SK1666', 'NRT', 'CPH', '16:17', '02:52', 'B787'),
('SK1667', 'NRT', 'OSL', '00:18', '10:29', 'B787'),
('SK1668', 'NRT', 'ARN', '23:19', '09:14', 'B787'),
('SK1669', 'NRT', 'DUB', '18:37', '06:17', 'B787'),
('SK1670', 'NRT', 'ATH', '21:31', '09:05', 'B787'),
('SK1671', 'NRT', 'JFK', '04:28', '17:42', 'B787'),
('SK1672', 'NRT', 'LAX', '17:30', '04:14', 'B787'),
('SK1673', 'NRT', 'YYZ', '11:21', '23:56', 'B787'),
('SK1674', 'NRT', 'GRU', '17:48', '08:04', 'B787'),
('SK1675', 'NRT', 'DXB', '17:24', '03:03', 'B787'),
('SK1676', 'NRT', 'PEK', '14:59', '18:12', 'B787'),
('SK1677', 'NRT', 'ICN', '10:55', '13:12', 'B787'),
('SK1678', 'PEK', 'FCO', '06:44', '16:39', 'B787'),
('SK1679', 'PEK', 'MXP', '07:36', '17:27', 'B787'),
('SK1680', 'PEK', 'VCE', '12:14', '21:50', 'B787'),
('SK1681', 'PEK', 'NAP', '13:02', '22:52', 'B787'),
('SK1682', 'PEK', 'TRN', '10:47', '20:45', 'B787'),
('SK1683', 'PEK', 'BRI', '15:45', '01:22', 'B787'),
('SK1684', 'PEK', 'CDG', '12:24', '22:22', 'B787'),
('SK1685', 'PEK', 'LHR', '21:50', '07:46', 'B787'),
('SK1686', 'PEK', 'AMS', '20:09', '05:41', 'B787'),
('SK1687', 'PEK', 'FRA', '15:02', '00:31', 'B787'),
('SK1688', 'PEK', 'BCN', '04:32', '15:16', 'B787'),
('SK1689', 'PEK', 'VIE', '18:21', '03:25', 'B787'),
('SK1690', 'PEK', 'CPH', '03:55', '12:41', 'B787'),
('SK1691', 'PEK', 'OSL', '14:06', '22:36', 'B787'),
('SK1692', 'PEK', 'ARN', '16:58', '01:07', 'B787'),
('SK1693', 'PEK', 'DUB', '14:00', '00:04', 'B787'),
('SK1694', 'PEK', 'ATH', '23:09', '08:25', 'B787'),
('SK1695', 'PEK', 'JFK', '13:55', '03:17', 'B787'),
('SK1696', 'PEK', 'LAX', '20:09', '08:22', 'B787'),
('SK1697', 'PEK', 'YYZ', '02:30', '15:22', 'B787'),
('SK1698', 'PEK', 'GRU', '08:21', '21:48', 'B787'),
('SK1699', 'PEK', 'DXB', '19:44', '02:51', 'B787'),
('SK1700', 'PEK', 'NRT', '12:41', '15:54', 'B787'),
('SK1701', 'PEK', 'ICN', '02:54', '04:37', 'B787'),
('SK1702', 'ICN', 'FCO', '10:54', '21:49', 'B787'),
('SK1703', 'ICN', 'MXP', '21:54', '08:43', 'B787'),
('SK1704', 'ICN', 'VCE', '17:24', '03:58', 'B787'),
('SK1705', 'ICN', 'NAP', '10:40', '21:31', 'B787'),
('SK1706', 'ICN', 'TRN', '22:56', '09:51', 'B787'),
('SK1707', 'ICN', 'BRI', '15:55', '02:33', 'B787'),
('SK1708', 'ICN', 'CDG', '17:02', '03:54', 'B787'),
('SK1709', 'ICN', 'LHR', '19:04', '05:51', 'B787'),
('SK1710', 'ICN', 'AMS', '07:40', '18:05', 'B787'),
('SK1711', 'ICN', 'FRA', '21:58', '08:22', 'B787'),
('SK1712', 'ICN', 'BCN', '09:14', '20:55', 'B787'),
('SK1713', 'ICN', 'VIE', '23:05', '09:08', 'B787'),
('SK1714', 'ICN', 'CPH', '13:06', '22:45', 'B787'),
('SK1715', 'ICN', 'OSL', '20:45', '06:05', 'B787'),
('SK1716', 'ICN', 'ARN', '03:28', '12:29', 'B787'),
('SK1717', 'ICN', 'DUB', '05:44', '16:37', 'B787'),
('SK1718', 'ICN', 'ATH', '09:57', '20:16', 'B787'),
('SK1719', 'ICN', 'JFK', '00:02', '13:32', 'B787'),
('SK1720', 'ICN', 'LAX', '10:50', '22:33', 'B787'),
('SK1721', 'ICN', 'YYZ', '01:18', '14:14', 'B787'),
('SK1722', 'ICN', 'GRU', '11:23', '01:21', 'B787'),
('SK1723', 'ICN', 'DXB', '13:09', '21:20', 'B787'),
('SK1724', 'ICN', 'NRT', '07:33', '09:50', 'B787'),
('SK1725', 'ICN', 'PEK', '13:36', '15:19', 'B787');
