('SK1000', 'FCO', 'MXP', '20:07', '21:26', '0'),
('SK1422', 'CPH', 'AMS', '14:11', '15:49', '0'),
('SK1423', 'CPH', 'FRA', '01:16', '03:01', '0'),
('SK1424', 'CPH', 'BCN', '12:20', '15:04', '0'),
('SK1425', 'CPH', 'VIE', '06:29', '08:09', '0'),
('SK1426', 'CPH', 'OSL', '10:21', '11:41', '0'),
('SK1427', 'CPH', 'ARN', '12:17', '13:41', '0'),
('SK1428', 'CPH', 'DUB', '13:16', '15:34', '0'),
('SK1429', 'CPH', 'ATH', '02:30', '05:49', '0'),
('SK1430', 'CPH', 'JFK', '00:47', '08:19', '0'),
('SK1431', 'CPH', 'LAX', '17:03', '04:03', '1'),
('SK1432', 'CPH', 'YYZ', '11:14', '18:52', '0'),
('SK1433', 'CPH', 'GRU', '20:04', '08:44', '1'),
('SK1434', 'CPH', 'DXB', '20:02', '01:54', '1'),
('SK1435', 'CPH', 'NRT', '00:15', '10:50', '0'),
('SK1436', 'CPH', 'PEK', '06:53', '15:39', '0'),
('SK1437', 'CPH', 'ICN', '00:39', '10:18', '0'),
('SK1438', 'OSL', 'FCO', '04:15', '07:25', '0'),
('SK1439', 'OSL', 'MXP', '04:30', '07:01', '0'),
('SK1440', 'OSL', 'VCE', '21:07', '23:39', '0'),
('SK1441', 'OSL', 'NAP', '18:13', '21:31', '0'),
('SK1442', 'OSL', 'TRN', '14:44', '17:20', '0'),
('SK1443', 'OSL', 'BRI', '08:49', '12:09', '0'),
('SK1444', 'OSL', 'CDG', '11:10', '13:19', '0'),
('SK1445', 'OSL', 'LHR', '19:38', '21:56', '0'),
('SK1446', 'OSL', 'AMS', '23:45', '01:35', '1'),
('SK1447', 'OSL', 'FRA', '03:49', '05:59', '0'),
('SK1448', 'OSL', 'BCN', '05:19', '08:43', '0'),
('SK1449', 'OSL', 'VIE', '03:37', '05:49', '0'),
('SK1450', 'OSL', 'CPH', '00:59', '02:19', '0'),
('SK1451', 'OSL', 'ARN', '09:36', '10:35', '0'),
('SK1452', 'OSL', 'DUB', '21:58', '00:01', '1'),
('SK1453', 'OSL', 'ATH', '12:25', '16:30', '0'),
('SK1454', 'OSL', 'JFK', '22:12', '05:24', '1'),
('SK1455', 'OSL', 'LAX', '02:37', '13:04', '0'),
('SK1456', 'OSL', 'YYZ', '22:53', '06:08', '1'),
('SK1457', 'OSL', 'GRU', '20:15', '09:13', '1'),
('SK1458', 'OSL', 'DXB', '03:44', '09:59', '0'),
('SK1459', 'OSL', 'NRT', '09:54', '20:05', '0'),
('SK1460', 'OSL', 'PEK', '21:38', '06:08', '1'),
('SK1461', 'OSL', 'ICN', '03:50', '13:10', '0'),
('SK1462', 'ARN', 'FCO', '18:50', '21:58', '0'),
('SK1463', 'ARN', 'MXP', '01:22', '03:58', '0'),
('SK1464', 'ARN', 'VCE', '17:27', '19:57', '0'),
('SK1465', 'ARN', 'NAP', '21:23', '00:38', '1'),
('SK1466', 'ARN', 'TRN', '02:32', '05:14', '0'),
('SK1467', 'ARN', 'BRI', '20:21', '23:33', '0'),
('SK1468', 'ARN', 'CDG', '00:54', '03:21', '0'),
('SK1469', 'ARN', 'LHR', '13:52', '16:11', '0'),
('SK1470', 'ARN', 'AMS', '15:06', '17:18', '0'),
('SK1471', 'ARN', 'FRA', '13:23', '15:39', '0'),
('SK1472', 'ARN', 'BCN', '20:57', '00:32', '1'),
('SK1473', 'ARN', 'VIE', '14:45', '17:08', '0'),
('SK1474', 'ARN', 'CPH', '04:27', '05:51', '0'),
('SK1475', 'ARN', 'OSL', '05:46', '06:45', '0'),
('SK1476', 'ARN', 'DUB', '16:41', '19:12', '0'),
('SK1477', 'ARN', 'ATH', '08:39', '12:27', '0'),
('SK1478', 'ARN', 'JFK', '17:49', '01:29', '1'),
('SK1479', 'ARN', 'LAX', '15:29', '02:17', '1'),
('SK1480', 'ARN', 'YYZ', '13:52', '21:33', '0'),
('SK1481', 'ARN', 'GRU', '23:37', '12:55', '1'),
('SK1482', 'ARN', 'DXB', '08:20', '14:09', '0'),
('SK1483', 'ARN', 'NRT', '07:53', '17:48', '0'),
('SK1484', 'ARN', 'PEK', '02:17', '10:26', '0'),
('SK1485', 'ARN', 'ICN', '14:15', '23:16', '0'),
('SK1486', 'DUB', 'FCO', '14:36', '17:31', '0'),
('SK1487', 'DUB', 'MXP', '19:42', '21:54', '0'),
('SK1488', 'DUB', 'VCE', '12:21', '14:53', '0'),
('SK1489', 'DUB', 'NAP', '00:31', '03:44', '0'),
('SK1490', 'DUB', 'TRN', '10:11', '12:20', '0'),
('SK1491', 'DUB', 'BRI', '15:13', '18:37', '0'),
('SK1492', 'DUB', 'CDG', '11:51', '13:52', '0'),
('SK1493', 'DUB', 'LHR', '08:21', '09:30', '0'),
('SK1494', 'DUB', 'AMS', '08:56', '10:52', '0'),
('SK1495', 'DUB', 'FRA', '19:44', '21:48', '0'),
('SK1496', 'DUB', 'BCN', '08:35', '10:57', '0'),
('SK1497', 'DUB', 'VIE', '00:33', '03:11', '0'),
('SK1498', 'DUB', 'CPH', '06:05', '08:23', '0'),
('SK1499', 'DUB', 'OSL', '07:46', '09:49', '0'),
('SK1500', 'DUB', 'ARN', '13:31', '16:02', '0'),
('SK1501', 'DUB', 'ATH', '17:48', '22:16', '0'),
('SK1502', 'DUB', 'JFK', '07:44', '13:57', '0'),
('SK1503', 'DUB', 'LAX', '15:41', '01:49', '1'),
('SK1504', 'DUB', 'YYZ', '22:31', '04:55', '1'),
('SK1505', 'DUB', 'GRU', '14:50', '02:16', '1'),
('SK1506', 'DUB', 'DXB', '00:05', '07:17', '0'),
('SK1507', 'DUB', 'NRT', '09:14', '20:54', '0'),
('SK1508', 'DUB', 'PEK', '12:44', '22:48', '0'),
('SK1509', 'DUB', 'ICN', '07:19', '18:12', '0'),
('SK1510', 'ATH', 'FCO', '21:37', '23:41', '0'),
('SK1511', 'ATH', 'MXP', '11:30', '13:55', '0'),
('SK1512', 'ATH', 'VCE', '17:33', '19:55', '0'),
('SK1513', 'ATH', 'NAP', '11:27', '13:09', '0'),
('SK1514', 'ATH', 'TRN', '23:35', '02:05', '1'),
('SK1515', 'ATH', 'BRI', '10:22', '12:12', '0'),
('SK1516', 'ATH', 'CDG', '22:29', '01:45', '1'),
('SK1517', 'ATH', 'LHR', '08:19', '12:05', '0'),
('SK1518', 'ATH', 'AMS', '08:14', '11:37', '0'),
('SK1519', 'ATH', 'FRA', '03:46', '06:35', '0'),
('SK1520', 'ATH', 'BCN', '06:20', '09:17', '0'),
('SK1521', 'ATH', 'VIE', '03:47', '06:09', '0'),
('SK1522', 'ATH', 'CPH', '17:48', '21:07', '0'),
('SK1523', 'ATH', 'OSL', '22:11', '02:16', '1'),
('SK1524', 'ATH', 'ARN', '06:13', '10:01', '0'),
('SK1525', 'ATH', 'DUB', '23:30', '03:58', '1'),
('SK1526', 'ATH', 'JFK', '08:46', '18:26', '0'),
('SK1527', 'ATH', 'LAX', '18:48', '08:21', '1'),
('SK1528', 'ATH', 'YYZ', '16:38', '02:32', '1'),
('SK1529', 'ATH', 'GRU', '09:06', '21:18', '0'),
('SK1530', 'ATH', 'DXB', '06:18', '11:23', '0'),
('SK1531', 'ATH', 'NRT', '07:23', '18:57', '0'),
('SK1532', 'ATH', 'PEK', '05:19', '14:35', '0'),
('SK1533', 'ATH', 'ICN', '00:45', '11:04', '0'),
('SK1534', 'JFK', 'FCO', '17:08', '01:30', '1'),
('SK1535', 'JFK', 'MXP', '08:02', '15:50', '0'),
('SK1536', 'JFK', 'VCE', '01:35', '09:42', '0'),
('SK1537', 'JFK', 'NAP', '09:44', '18:20', '0'),
('SK1538', 'JFK', 'TRN', '04:40', '12:25', '0'),
('SK1539', 'JFK', 'BRI', '15:06', '23:54', '0'),
('SK1540', 'JFK', 'CDG', '00:36', '07:42', '0'),
('SK1541', 'JFK', 'LHR', '09:30', '16:15', '0'),
('SK1542', 'JFK', 'AMS', '15:28', '22:35', '0'),
('SK1543', 'JFK', 'FRA', '10:11', '17:43', '0'),
('SK1544', 'JFK', 'BCN', '01:16', '08:45', '0'),
('SK1545', 'JFK', 'VIE', '15:07', '23:24', '0'),
('SK1546', 'JFK', 'CPH', '02:25', '09:57', '0'),
('SK1547', 'JFK', 'OSL', '15:04', '22:16', '0'),
('SK1548', 'JFK', 'ARN', '18:40', '02:20', '1'),
('SK1549', 'JFK', 'DUB', '21:03', '03:16', '1'),
('SK1550', 'JFK', 'ATH', '04:09', '13:49', '0'),
('SK1551', 'JFK', 'LAX', '18:19', '00:29', '1'),
('SK1552', 'JFK', 'YYZ', '02:15', '03:46', '0'),
('SK1553', 'JFK', 'GRU', '03:35', '12:55', '0'),
('SK1554', 'JFK', 'DXB', '13:38', '03:02', '1'),
('SK1555', 'JFK', 'NRT', '19:50', '09:04', '1'),
('SK1556', 'JFK', 'PEK', '19:14', '08:36', '1'),
('SK1557', 'JFK', 'ICN', '16:24', '05:54', '1'),
('SK1558', 'LAX', 'FCO', '14:58', '03:24', '1'),
('SK1559', 'LAX', 'MXP', '14:19', '02:07', '1'),
('SK1560', 'LAX', 'VCE', '18:27', '06:30', '1'),
('SK1561', 'LAX', 'NAP', '09:36', '22:15', '0'),
('SK1562', 'LAX', 'TRN', '19:03', '06:50', '1'),
('SK1563', 'LAX', 'BRI', '19:47', '08:34', '1'),
('SK1564', 'LAX', 'CDG', '03:48', '14:53', '0'),
('SK1565', 'LAX', 'LHR', '06:40', '13:25', '0'),
('SK1566', 'LAX', 'AMS', '06:16', '17:10', '0'),
('SK1567', 'LAX', 'FRA', '21:05', '08:26', '1'),
('SK1568', 'LAX', 'BCN', '05:15', '17:02', '0'),
('SK1569', 'LAX', 'VIE', '05:35', '17:35', '0'),
('SK1570', 'LAX', 'CPH', '02:10', '13:10', '0'),
('SK1571', 'LAX', 'OSL', '00:26', '10:53', '0'),
('SK1572', 'LAX', 'ARN', '14:44', '01:32', '1'),
('SK1573', 'LAX', 'DUB', '19:30', '05:38', '1'),
('SK1574', 'LAX', 'ATH', '09:02', '22:35', '0'),
('SK1575', 'LAX', 'JFK', '07:18', '13:28', '0'),
('SK1576', 'LAX', 'YYZ', '22:18', '03:43', '1'),
('SK1577', 'LAX', 'GRU', '22:55', '11:00', '1'),
('SK1578', 'LAX', 'DXB', '14:04', '06:23', '1'),
('SK1579', 'LAX', 'NRT', '21:14', '07:58', '1'),
('SK1580', 'LAX', 'PEK', '08:50', '21:03', '0'),
('SK1581', 'LAX', 'ICN', '20:37', '08:20', '1'),
('SK1582', 'YYZ', 'FCO', '21:51', '06:29', '1'),
('SK1583', 'YYZ', 'MXP', '06:27', '14:30', '0'),
('SK1584', 'YYZ', 'VCE', '03:34', '11:55', '0'),
('SK1585', 'YYZ', 'NAP', '07:41', '16:33', '0'),
('SK1586', 'YYZ', 'TRN', '04:58', '12:58', '0'),
('SK1587', 'YYZ', 'BRI', '08:52', '17:55', '0'),
('SK1588', 'YYZ', 'CDG', '04:04', '11:24', '0'),
('SK1589', 'YYZ', 'LHR', '01:10', '08:07', '0'),
('SK1590', 'YYZ', 'AMS', '09:38', '16:55', '0'),
('SK1591', 'YYZ', 'FRA', '23:52', '07:35', '1'),
('SK1592', 'YYZ', 'BCN', '18:58', '02:47', '1'),
('SK1593', 'YYZ', 'VIE', '09:28', '17:56', '0'),
('SK1594', 'YYZ', 'CPH', '03:29', '11:07', '0'),
('SK1595', 'YYZ', 'OSL', '22:19', '05:34', '1'),
('SK1596', 'YYZ', 'ARN', '22:25', '06:06', '1'),
('SK1597', 'YYZ', 'DUB', '08:32', '14:56', '0'),
('SK1598', 'YYZ', 'ATH', '17:31', '03:25', '1'),
('SK1599', 'YYZ', 'JFK', '14:05', '15:36', '0'),
('SK1600', 'YYZ', 'LAX', '19:02', '00:27', '1'),
('SK1601', 'YYZ', 'GRU', '13:47', '23:46', '0'),
('SK1602', 'YYZ', 'DXB', '10:38', '00:08', '1'),
('SK1603', 'YYZ', 'NRT', '08:01', '20:36', '0'),
('SK1604', 'YYZ', 'PEK', '02:14', '15:06', '0'),
('SK1605', 'YYZ', 'ICN', '21:53', '10:49', '1'),
('SK1606', 'GRU', 'FCO', '18:37', '06:06', '1'),
('SK1607', 'GRU', 'MXP', '00:48', '12:21', '0'),
('SK1608', 'GRU', 'VCE', '21:52', '09:40', '1'),
('SK1609', 'GRU', 'NAP', '08:36', '20:11', '0'),
('SK1610', 'GRU', 'TRN', '01:48', '13:14', '0'),
('SK1611', 'GRU', 'BRI', '05:30', '17:18', '0'),
('SK1612', 'GRU', 'CDG', '16:41', '04:08', '1'),
('SK1613', 'GRU', 'LHR', '14:58', '02:29', '1'),
('SK1614', 'GRU', 'AMS', '08:11', '20:05', '0'),
('SK1615', 'GRU', 'FRA', '18:27', '06:23', '1'),
('SK1616', 'GRU', 'BCN', '20:52', '07:32', '1'),
('SK1617', 'GRU', 'VIE', '15:05', '03:25', '1'),
('SK1618', 'GRU', 'CPH', '15:22', '04:02', '1'),
('SK1619', 'GRU', 'OSL', '13:21', '02:19', '1'),
('SK1620', 'GRU', 'ARN', '10:42', '00:00', '1'),
('SK1621', 'GRU', 'DUB', '03:54', '15:20', '0'),
('SK1622', 'GRU', 'ATH', '05:21', '17:33', '0'),
('SK1623', 'GRU', 'JFK', '13:44', '23:04', '0'),
('SK1624', 'GRU', 'LAX', '15:18', '03:23', '1'),
('SK1625', 'GRU', 'YYZ', '21:25', '07:24', '1'),
('SK1626', 'GRU', 'DXB', '17:02', '07:55', '1'),
('SK1627', 'GRU', 'NRT', '14:05', '04:21', '1'),
('SK1628', 'GRU', 'PEK', '10:16', '23:43', '0'),
('SK1629', 'GRU', 'ICN', '10:07', '00:05', '1'),
('SK1630', 'DXB', 'FCO', '12:55', '18:12', '0'),
('SK1631', 'DXB', 'MXP', '16:52', '22:36', '0'),
('SK1632', 'DXB', 'VCE', '00:42', '06:06', '0'),
('SK1633', 'DXB', 'NAP', '17:29', '22:32', '0'),
('SK1634', 'DXB', 'TRN', '13:03', '18:52', '0'),
('SK1635', 'DXB', 'BRI', '06:33', '12:42', '0'),
('SK1636', 'DXB', 'CDG', '11:39', '18:02', '0'),
('SK1637', 'DXB', 'LHR', '15:40', '22:21', '0'),
('SK1638', 'DXB', 'AMS', '14:48', '21:05', '0'),
('SK1639', 'DXB', 'FRA', '01:13', '07:07', '0'),
('SK1640', 'DXB', 'BCN', '08:35', '14:53', '0'),
('SK1641', 'DXB', 'VIE', '04:59', '10:07', '0'),
('SK1642', 'DXB', 'CPH', '09:28', '15:20', '0'),
('SK1643', 'DXB', 'OSL', '22:31', '04:46', '1'),
('SK1644', 'DXB', 'ARN', '03:01', '08:50', '0'),
('SK1645', 'DXB', 'DUB', '20:38', '03:50', '1'),
('SK1646', 'DXB', 'ATH', '07:45', '12:50', '0'),
('SK1647', 'DXB', 'JFK', '05:19', '18:43', '0'),
('SK1648', 'DXB', 'LAX', '17:00', '09:19', '1'),
('SK1649', 'DXB', 'YYZ', '17:26', '06:56', '1'),
('SK1650', 'DXB', 'GRU', '02:14', '17:07', '0'),
('SK1651', 'DXB', 'NRT', '03:29', '13:08', '0'),
('SK1652', 'DXB', 'PEK', '03:41', '10:48', '0'),
('SK1653', 'DXB', 'ICN', '04:31', '12:42', '0'),
('SK1654', 'NRT', 'FCO', '22:18', '10:20', '1'),
('SK1655', 'NRT', 'MXP', '16:45', '04:35', '1'),
('SK1656', 'NRT', 'VCE', '08:26', '20:04', '0'),
('SK1657', 'NRT', 'NAP', '15:30', '03:29', '1'),
('SK1658', 'NRT', 'TRN', '07:29', '19:26', '0'),
('SK1659', 'NRT', 'BRI', '17:09', '04:56', '1'),
('SK1660', 'NRT', 'CDG', '12:12', '00:00', '1'),
('SK1661', 'NRT', 'LHR', '19:32', '07:09', '1'),
('SK1662', 'NRT', 'AMS', '23:56', '11:06', '1'),
('SK1663', 'NRT', 'FRA', '04:55', '16:18', '0'),
('SK1664', 'NRT', 'BCN', '02:17', '14:59', '0'),
('SK1665', 'NRT', 'VIE', '13:21', '00:28', '1'),
('SK1666', 'NRT', 'CPH', '16:17', '02:52', '1'),
('SK1667', 'NRT', 'OSL', '00:18', '10:29', '0'),
('SK1668', 'NRT', 'ARN', '23:19', '09:14', '1'),
('SK1669', 'NRT', 'DUB', '18:37', '06:17', '1'),
('SK1670', 'NRT', 'ATH', '21:31', '09:05', '1'),
('SK1671', 'NRT', 'JFK', '04:28', '17:42', '0'),
('SK1672', 'NRT', 'LAX', '17:30', '04:14', '1'),
('SK1673', 'NRT', 'YYZ', '11:21', '23:56', '0'),
('SK1674', 'NRT', 'GRU', '17:48', '08:04', '1'),
('SK1675', 'NRT', 'DXB', '17:24', '03:03', '1'),
('SK1676', 'NRT', 'PEK', '14:59', '18:12', '0'),
('SK1677', 'NRT', 'ICN', '10:55', '13:12', '0'),
('SK1678', 'PEK', 'FCO', '06:44', '16:39', '0'),
('SK1679', 'PEK', 'MXP', '07:36', '17:27', '0'),
('SK1680', 'PEK', 'VCE', '12:14', '21:50', '0'),
('SK1681', 'PEK', 'NAP', '13:02', '22:52', '0'),
('SK1682', 'PEK', 'TRN', '10:47', '20:45', '0'),
('SK1683', 'PEK', 'BRI', '15:45', '01:22', '1'),
('SK1684', 'PEK', 'CDG', '12:24', '22:22', '0'),
('SK1685', 'PEK', 'LHR', '21:50', '07:46', '1'),
('SK1686', 'PEK', 'AMS', '20:09', '05:41', '1'),
('SK1687', 'PEK', 'FRA', '15:02', '00:31', '1'),
('SK1688', 'PEK', 'BCN', '04:32', '15:16', '0'),
('SK1689', 'PEK', 'VIE', '18:21', '03:25', '1'),
('SK1690', 'PEK', 'CPH', '03:55', '12:41', '0'),
('SK1691', 'PEK', 'OSL', '14:06', '22:36', '0'),
('SK1692', 'PEK', 'ARN', '16:58', '01:07', '1'),
('SK1693', 'PEK', 'DUB', '14:00', '00:04', '1'),
('SK1694', 'PEK', 'ATH', '23:09', '08:25', '1'),
('SK1695', 'PEK', 'JFK', '13:55', '03:17', '1'),
('SK1696', 'PEK', 'LAX', '20:09', '08:22', '1'),
('SK1697', 'PEK', 'YYZ', '02:30', '15:22', '0'),
('SK1698', 'PEK', 'GRU', '08:21', '21:48', '0'),
('SK1699', 'PEK', 'DXB', '19:44', '02:51', '1'),
('SK1700', 'PEK', 'NRT', '12:41', '15:54', '0'),
('SK1701', 'PEK', 'ICN', '02:54', '04:37', '0'),
('SK1702', 'ICN', 'FCO', '10:54', '21:49', '0'),
('SK1703', 'ICN', 'MXP', '21:54', '08:43', '1'),
('SK1704', 'ICN', 'VCE', '17:24', '03:58', '1'),
('SK1705', 'ICN', 'NAP', '10:40', '21:31', '0'),
('SK1706', 'ICN', 'TRN', '22:56', '09:51', '1'),
('SK1707', 'ICN', 'BRI', '15:55', '02:33', '1'),
('SK1708', 'ICN', 'CDG', '17:02', '03:54', '1'),
('SK1709', 'ICN', 'LHR', '19:04', '05:51', '1'),
('SK1710', 'ICN', 'AMS', '07:40', '18:05', '0'),
('SK1711', 'ICN', 'FRA', '21:58', '08:22', '1'),
('SK1712', 'ICN', 'BCN', '09:14', '20:55', '0'),
('SK1713', 'ICN', 'VIE', '23:05', '09:08', '1'),
('SK1714', 'ICN', 'CPH', '13:06', '22:45', '0'),
('SK1715', 'ICN', 'OSL', '20:45', '06:05', '1'),
('SK1716', 'ICN', 'ARN', '03:28', '12:29', '0'),
('SK1717', 'ICN', 'DUB', '05:44', '16:37', '0'),
('SK1718', 'ICN', 'ATH', '09:57', '20:16', '0'),
('SK1719', 'ICN', 'JFK', '00:02', '13:32', '0'),
('SK1720', 'ICN', 'LAX', '10:50', '22:33', '0'),
('SK1721', 'ICN', 'YYZ', '01:18', '14:14', '0'),
('SK1722', 'ICN', 'GRU', '11:23', '01:21', '1'),
('SK1723', 'ICN', 'DXB', '13:09', '21:20', '0'),
('SK1724', 'ICN', 'NRT', '07:33', '09:50', '0'),
('SK1725', 'ICN', 'PEK', '13:36', '15:19', '0')
