('SK1000', 'FCO', 'MXP', '20:07'),
('SK1558', 'LAX', 'FCO', '14:58'),
('SK1559', 'LAX', 'MXP', '14:19'),
('SK1560', 'LAX', 'VCE', '18:27'),
('SK1561', 'LAX', 'NAP', '09:36'),
('SK1562', 'LAX', 'TRN', '19:03'),
('SK1563', 'LAX', 'BRI', '19:47'),
('SK1564', 'LAX', 'CDG', '03:48'),
('SK1565', 'LAX', 'LHR', '06:40'),
('SK1566', 'LAX', 'AMS', '06:16'),
('SK1567', 'LAX', 'FRA', '21:05'),
('SK1568', 'LAX', 'BCN', '05:15'),
('SK1569', 'LAX', 'VIE', '05:35'),
('SK1570', 'LAX', 'CPH', '02:10'),
('SK1571', 'LAX', 'OSL', '00:26'),
('SK1572', 'LAX', 'ARN', '14:44'),
('SK1573', 'LAX', 'DUB', '19:30'),
('SK1574', 'LAX', 'ATH', '09:02'),
('SK1575', 'LAX', 'JFK', '07:18'),
('SK1576', 'LAX', 'YYZ', '22:18'),
('SK1577', 'LAX', 'GRU', '22:55'),
('SK1578', 'LAX', 'DXB', '14:04'),
('SK1579', 'LAX', 'NRT', '21:14'),
('SK1580', 'LAX', 'PEK', '08:50'),
('SK1581', 'LAX', 'ICN', '20:37'),
('SK1582', 'YYZ', 'FCO', '21:51'),
('SK1583', 'YYZ', 'MXP', '06:27'),
('SK1584', 'YYZ', 'VCE', '03:34'),
('SK1585', 'YYZ', 'NAP', '07:41'),
('SK1586', 'YYZ', 'TRN', '04:58'),
('SK1587', 'YYZ', 'BRI', '08:52'),
('SK1588', 'YYZ', 'CDG', '04:04'),
('SK1589', 'YYZ', 'LHR', '01:10'),
('SK1590', 'YYZ', 'AMS', '09:38'),
('SK1591', 'YYZ', 'FRA', '23:52'),
('SK1592', 'YYZ', 'BCN', '18:58'),
('SK1593', 'YYZ', 'VIE', '09:28'),
('SK1594', 'YYZ', 'CPH', '03:29'),
('SK1595', 'YYZ', 'OSL', '22:19'),
('SK1596', 'YYZ', 'ARN', '22:25'),
('SK1597', 'YYZ', 'DUB', '08:32'),
('SK1598', 'YYZ', 'ATH', '17:31'),
('SK1599', 'YYZ', 'JFK', '14:05'),
('SK1600', 'YYZ', 'LAX', '19:02'),
('SK1601', 'YYZ', 'GRU', '13:47'),
('SK1602', 'YYZ', 'DXB', '10:38'),
('SK1603', 'YYZ', 'NRT', '08:01'),
('SK1604', 'YYZ', 'PEK', '02:14'),
('SK1605', 'YYZ', 'ICN', '21:53'),
('SK1606', 'GRU', 'FCO', '18:37'),
('SK1607', 'GRU', 'MXP', '00:48'),
('SK1608', 'GRU', 'VCE', '21:52'),
('SK1609', 'GRU', 'NAP', '08:36'),
('SK1610', 'GRU', 'TRN', '01:48'),
('SK1611', 'GRU', 'BRI', '05:30'),
('SK1612', 'GRU', 'CDG', '16:41'),
('SK1613', 'GRU', 'LHR', '14:58'),
('SK1614', 'GRU', 'AMS', '08:11'),
('SK1615', 'GRU', 'FRA', '18:27'),
('SK1616', 'GRU', 'BCN', '20:52'),
('SK1617', 'GRU', 'VIE', '15:05'),
('SK1618', 'GRU', 'CPH', '15:22'),
('SK1619', 'GRU', 'OSL', '13:21'),
('SK1620', 'GRU', 'ARN', '10:42'),
('SK1621', 'GRU', 'DUB', '03:54'),
('SK1622', 'GRU', 'ATH', '05:21'),
('SK1623', 'GRU', 'JFK', '13:44'),
('SK1624', 'GRU', 'LAX', '15:18'),
('SK1625', 'GRU', 'YYZ', '21:25'),
('SK1626', 'GRU', 'DXB', '17:02'),
('SK1627', 'GRU', 'NRT', '14:05'),
('SK1628', 'GRU', 'PEK', '10:16'),
('SK1629', 'GRU', 'ICN', '10:07'),
('SK1630', 'DXB', 'FCO', '12:55'),
('SK1631', 'DXB', 'MXP', '16:52'),
('SK1632', 'DXB', 'VCE', '00:42'),
('SK1633', 'DXB', 'NAP', '17:29'),
('SK1634', 'DXB', 'TRN', '13:03'),
('SK1635', 'DXB', 'BRI', '06:33'),
('SK1636', 'DXB', 'CDG', '11:39'),
('SK1637', 'DXB', 'LHR', '15:40'),
('SK1638', 'DXB', 'AMS', '14:48'),
('SK1639', 'DXB', 'FRA', '01:13'),
('SK1640', 'DXB', 'BCN', '08:35'),
('SK1641', 'DXB', 'VIE', '04:59'),
('SK1642', 'DXB', 'CPH', '09:28'),
('SK1643', 'DXB', 'OSL', '22:31'),
('SK1644', 'DXB', 'ARN', '03:01'),
('SK1645', 'DXB', 'DUB', '20:38'),
('SK1646', 'DXB', 'ATH', '07:45'),
('SK1647', 'DXB', 'JFK', '05:19'),
('SK1648', 'DXB', 'LAX', '17:00'),
('SK1649', 'DXB', 'YYZ', '17:26'),
('SK1650', 'DXB', 'GRU', '02:14'),
('SK1651', 'DXB', 'NRT', '03:29'),
('SK1652', 'DXB', 'PEK', '03:41'),
('SK1653', 'DXB', 'ICN', '04:31'),
('SK1654', 'NRT', 'FCO', '22:18'),
('SK1655', 'NRT', 'MXP', '16:45'),
('SK1656', 'NRT', 'VCE', '08:26'),
('SK1657', 'NRT', 'NAP', '15:30'),
('SK1658', 'NRT', 'TRN', '07:29'),
('SK1659', 'NRT', 'BRI', '17:09'),
('SK1660', 'NRT', 'CDG', '12:12'),
('SK1661', 'NRT', 'LHR', '19:32'),
('SK1662', 'NRT', 'AMS', '23:56'),
('SK1663', 'NRT', 'FRA', '04:55'),
('SK1664', 'NRT', 'BCN', '02:17'),
('SK1665', 'NRT', 'VIE', '13:21'),
('SK1666', 'NRT', 'CPH', '16:17'),
('SK1667', 'NRT', 'OSL', '00:18'),
('SK1668', 'NRT', 'ARN', '23:19'),
('SK1669', 'NRT', 'DUB', '18:37'),
('SK1670', 'NRT', 'ATH', '21:31'),
('SK1671', 'NRT', 'JFK', '04:28'),
('SK1672', 'NRT', 'LAX', '17:30'),
('SK1673', 'NRT', 'YYZ', '11:21'),
('SK1674', 'NRT', 'GRU', '17:48'),
('SK1675', 'NRT', 'DXB', '17:24'),
('SK1676', 'NRT', 'PEK', '14:59'),
('SK1677', 'NRT', 'ICN', '10:55'),
('SK1678', 'PEK', 'FCO', '06:44'),
('SK1679', 'PEK', 'MXP', '07:36'),
('SK1680', 'PEK', 'VCE', '12:14'),
('SK1681', 'PEK', 'NAP', '13:02'),
('SK1682', 'PEK', 'TRN', '10:47'),
('SK1683', 'PEK', 'BRI', '15:45'),
('SK1684', 'PEK', 'CDG', '12:24'),
('SK1685', 'PEK', 'LHR', '21:50'),
('SK1686', 'PEK', 'AMS', '20:09'),
('SK1687', 'PEK', 'FRA', '15:02'),
('SK1688', 'PEK', 'BCN', '04:32'),
('SK1689', 'PEK', 'VIE', '18:21'),
('SK1690', 'PEK', 'CPH', '03:55'),
('SK1691', 'PEK', 'OSL', '14:06'),
('SK1692', 'PEK', 'ARN', '16:58'),
('SK1693', 'PEK', 'DUB', '14:00'),
('SK1694', 'PEK', 'ATH', '23:09'),
('SK1695', 'PEK', 'JFK', '13:55'),
('SK1696', 'PEK', 'LAX', '20:09'),
('SK1697', 'PEK', 'YYZ', '02:30'),
('SK1698', 'PEK', 'GRU', '08:21'),
('SK1699', 'PEK', 'DXB', '19:44'),
('SK1700', 'PEK', 'NRT', '12:41'),
('SK1701', 'PEK', 'ICN', '02:54'),
('SK1702', 'ICN', 'FCO', '10:54'),
('SK1703', 'ICN', 'MXP', '21:54'),
('SK1704', 'ICN', 'VCE', '17:24'),
('SK1705', 'ICN', 'NAP', '10:40'),
('SK1706', 'ICN', 'TRN', '22:56'),
('SK1707', 'ICN', 'BRI', '15:55'),
('SK1708', 'ICN', 'CDG', '17:02'),
('SK1709', 'ICN', 'LHR', '19:04'),
('SK1710', 'ICN', 'AMS', '07:40'),
('SK1711', 'ICN', 'FRA', '21:58'),
('SK1712', 'ICN', 'BCN', '09:14'),
('SK1713', 'ICN', 'VIE', '23:05'),
('SK1714', 'ICN', 'CPH', '13:06'),
('SK1715', 'ICN', 'OSL', '20:45'),
('SK1716', 'ICN', 'ARN', '03:28'),
('SK1717', 'ICN', 'DUB', '05:44'),
('SK1718', 'ICN', 'ATH', '09:57'),
('SK1719', 'ICN', 'JFK', '00:02'),
('SK1720', 'ICN', 'LAX', '10:50'),
('SK1721', 'ICN', 'YYZ', '01:18'),
('SK1722', 'ICN', 'GRU', '11:23'),
('SK1723', 'ICN', 'DXB', '13:09'),
('SK1724', 'ICN', 'NRT', '07:33'),
('SK1725', 'ICN', 'PEK', '13:36')
